id,name,category,subcategory,use_case,prerequisites,output_type,when_to_use,avoid_when,python_function,domain
ttest_paired,Paired T-Test,inferential,comparison,Compare means of related measurements,Numeric pairs (before/after),p-value + effect size,Same subjects measured twice,Independent groups,scipy.stats.ttest_rel(),healthcare
anova_oneway,One-Way ANOVA,inferential,comparison,Compare means across 3+ groups,Numeric DV + 3+ group IV,F-statistic + p-value,Comparing multiple group means,Only 2 groups (use t-test),scipy.stats.f_oneway(),general
anova_twoway,Two-Way ANOVA,inferential,comparison,Test main effects and interaction,Numeric DV + 2 categorical IVs,F-statistics + p-values,Testing factorial designs,Single factor design,statsmodels.formula.api.ols(),research
anova_repeated,Repeated Measures ANOVA,inferential,comparison,Compare within-subject means,Repeated numeric measures,F-statistic + sphericity,Same subjects multiple conditions,Between-subjects design,pingouin.rm_anova(),research
mann_whitney,Mann-Whitney U,inferential,comparison,Compare distributions of 2 groups,Ordinal/non-normal numeric,U-statistic + p-value,Non-parametric alternative to t-test,Normal distributions confirmed,scipy.stats.mannwhitneyu(),survey
kruskal_wallis,Kruskal-Wallis H,inferential,comparison,Compare 3+ group distributions,Ordinal/non-normal numeric,H-statistic + p-value,Non-parametric alternative to ANOVA,Normal distributions confirmed,scipy.stats.kruskal(),survey
wilcoxon,Wilcoxon Signed-Rank,inferential,comparison,Compare paired non-normal samples,Paired ordinal/numeric,W-statistic + p-value,Non-parametric paired comparison,Normal differences confirmed,scipy.stats.wilcoxon(),healthcare
chi_square,Chi-Square Test,inferential,association,Test independence of categories,2 categorical variables,Chi2 + p-value + Cramér's V,Testing categorical associations,Expected counts < 5,scipy.stats.chi2_contingency(),survey
fisher_exact,Fisher's Exact Test,inferential,association,Test independence (small samples),2x2 contingency table,Odds ratio + p-value,Small sample sizes,Large samples (use chi-square),scipy.stats.fisher_exact(),healthcare
mcnemar,McNemar's Test,inferential,association,Compare paired proportions,2x2 paired table,Chi2 + p-value,Before/after categorical,Independent samples,statsmodels.stats.contingency_tables.mcnemar(),healthcare
pearson_corr,Pearson Correlation,inferential,correlation,Measure linear relationship,2 numeric variables,r coefficient + p-value,Both variables are continuous and normal,Non-linear or ordinal data,scipy.stats.pearsonr(),general
spearman_corr,Spearman Correlation,inferential,correlation,Measure monotonic relationship,2 ordinal/numeric variables,rho coefficient + p-value,Ordinal data or non-linear relationships,Linear relationships confirmed,scipy.stats.spearmanr(),survey
kendall_corr,Kendall's Tau,inferential,correlation,Robust rank correlation,2 ordinal variables,tau coefficient + p-value,Small samples with ties,Large samples (use Spearman),scipy.stats.kendalltau(),research
partial_corr,Partial Correlation,inferential,correlation,Correlation controlling confounders,3+ numeric variables,Partial r + p-value,Controlling third variable effects,No confounders suspected,pingouin.partial_corr(),research
regression_linear,Linear Regression,modeling,prediction,Predict continuous outcome,Numeric outcome + predictors,Coefficients + R² + predictions,Predicting numeric values,Categorical outcome,sklearn.linear_model.LinearRegression(),general
regression_logistic,Logistic Regression,modeling,classification,Predict binary outcome,Binary outcome + predictors,Odds ratios + accuracy + predictions,Binary classification problems,Multi-class or continuous outcomes,sklearn.linear_model.LogisticRegression(),healthcare
regression_multi,Multiple Regression,modeling,prediction,Predict with multiple factors,Numeric outcome + multiple predictors,Coefficients + R² + VIF,Multiple predictors influence outcome,Perfect multicollinearity,statsmodels.api.OLS(),research
regression_ordinal,Ordinal Regression,modeling,classification,Predict ordered categories,Ordinal outcome + predictors,Coefficients + thresholds,Ordered categorical outcome,Unordered categories,mord.LogisticIT(),survey
regression_poisson,Poisson Regression,modeling,count,Predict count data,Count outcome + predictors,Rate ratios + predictions,Modeling event counts,Overdispersed counts,statsmodels.api.GLM(family=Poisson),healthcare
factor_analysis,Factor Analysis,dimensionality,reduction,Identify latent constructs,Multiple correlated variables,Loadings + explained variance,Likert scales or battery questions,< 5 variables or low correlations,factor_analyzer.FactorAnalyzer(),survey
factor_survey,Survey Factor Analysis,dimensionality,reduction,Extract satisfaction dimensions,Likert battery questions,Factors + loadings + scores,Multiple rating scales,Few items per construct,survey_stats.factor_analysis.run_factor_analysis(),survey
pca,Principal Component Analysis,dimensionality,reduction,Reduce feature space,Multiple numeric variables,Components + loadings + scores,Many correlated features,Sparse or categorical data,sklearn.decomposition.PCA(),general
pca_survey,Survey PCA,dimensionality,reduction,PCA with multi-response support,Survey variables,Components + loadings,Multi-response or Likert data,Single response items,survey_stats.survey_pca.run_survey_pca(),survey
efa,Exploratory Factor Analysis,dimensionality,discovery,Discover factor structure,10+ correlated variables,Scree plot + loadings,Unknown underlying structure,Theory-driven analysis,factor_analyzer with rotation,research
cfa,Confirmatory Factor Analysis,dimensionality,validation,Validate factor structure,Hypothesized model,Fit indices + loadings,Testing theoretical models,Exploratory phase,semopy.Model(),research
kmeans,K-Means Clustering,segmentation,clustering,Group similar observations,Numeric features,Cluster labels + centroids,Finding natural groupings,Pre-defined groups exist,sklearn.cluster.KMeans(),marketing
kmeans_survey,Survey Segmentation,segmentation,clustering,Create respondent personas,Factor scores or attitudes,Segments + profiles,Post factor analysis,Raw variables with noise,survey_stats.clustering.run_segmentation(),survey
hierarchical,Hierarchical Clustering,segmentation,clustering,Build cluster hierarchy,Numeric or distance matrix,Dendrogram + cluster labels,Exploring cluster structure,Large datasets (>10k rows),scipy.cluster.hierarchy,research
dbscan,DBSCAN Clustering,segmentation,clustering,Density-based clustering,Numeric features,Cluster labels + noise points,Unknown number of clusters,Varying density clusters,sklearn.cluster.DBSCAN(),general
gmm,Gaussian Mixture Model,segmentation,clustering,Probabilistic clustering,Numeric features,Cluster probabilities + labels,Soft clustering needed,Clear cluster boundaries,sklearn.mixture.GaussianMixture(),research
lca,Latent Class Analysis,segmentation,categorical,Cluster categorical data,Multiple categorical variables,Class memberships + profiles,Categorical segmentation,Numeric features only,poLCA (R) / pyLCA,survey
sentiment,Sentiment Analysis,nlp,classification,Classify text sentiment,Text column,Sentiment scores/labels,Analyzing open-ended responses,Structured data only,textblob / transformers,survey
topic_model,Topic Modeling (LDA),nlp,discovery,Discover themes in text,Text corpus,Topics + word distributions,Large text collections,Short or few texts,sklearn.decomposition.LatentDirichletAllocation(),research
word_freq,Word Frequency Analysis,nlp,descriptive,Find common terms,Text column,Word counts + cloud,Quick text overview,Need semantic understanding,collections.Counter(),survey
ner,Named Entity Recognition,nlp,extraction,Extract entities from text,Text column,Entity labels + spans,Finding people/places/orgs,Numeric data,spacy / transformers,research
text_similarity,Text Similarity,nlp,comparison,Compare text documents,2+ text documents,Similarity scores,Finding similar responses,Short texts,sklearn.metrics.pairwise.cosine_similarity(),survey
time_decompose,Time Series Decomposition,timeseries,analysis,Separate trend/season/residual,Datetime index + values,Trend + Seasonal + Residual,Understanding time patterns,Non-time-indexed data,statsmodels.tsa.seasonal_decompose(),financial
arima,ARIMA Forecasting,timeseries,prediction,Forecast future values,Datetime index + values,Predictions + confidence intervals,Univariate time series,Multiple time series,statsmodels.tsa.arima.model.ARIMA(),financial
prophet,Prophet Forecasting,timeseries,prediction,Automated time series forecasting,Datetime + values,Predictions + components,Business metrics forecasting,High-frequency data,prophet.Prophet(),marketing
survival,Survival Analysis,specialized,duration,Time-to-event modeling,Duration + event indicator,Survival curves + hazard ratios,Analyzing time until event,No censoring in data,lifelines.KaplanMeierFitter(),healthcare
raking,Sample Raking/Weighting,specialized,weighting,Adjust sample to population,Sample + population targets,Weight column,Unrepresentative sample,Already weighted data,survey_stats.weighting.rake_weights(),survey
turf,TURF Analysis,specialized,optimization,Optimize product/channel reach,Binary usage matrix,Reach + frequency curves,Portfolio optimization,Single product analysis,survey_stats.turf_analysis.run_turf_analysis(),marketing
maxdiff,MaxDiff Analysis,specialized,preference,Measure item preferences,Best/worst choice data,Preference scores + rankings,Ranking many items,Few items (use ranking),custom MaxDiff scoring,marketing
conjoint,Conjoint Analysis,specialized,preference,Measure attribute importance,Choice-based data,Part-worths + simulations,Product design optimization,Simple preference ranking,statsmodels / custom,marketing
ab_test,A/B Test Analysis,specialized,experiment,Compare treatment effects,Control + treatment groups,Effect size + significance,Experimental design,Observational data,scipy.stats + bootstrap,marketing
power_analysis,Power Analysis,specialized,design,Calculate required sample size,Effect size + alpha + power,Required n,Planning studies,Study already conducted,statsmodels.stats.power,research
bootstrap,Bootstrap Confidence Intervals,specialized,inference,Non-parametric CIs,Any statistic,CI bounds + distribution,Unknown distribution,Very small samples,scipy.stats.bootstrap(),general
effect_size,Effect Size Calculation,specialized,measurement,Quantify practical significance,Group comparison results,Cohen's d / eta² / r,Reporting beyond p-values,Significance not established,pingouin.compute_effsize(),research
reliability,Reliability Analysis,specialized,measurement,Assess scale consistency,Multi-item scale,Cronbach's alpha + item stats,Validating scales,Single-item measures,pingouin.cronbach_alpha(),survey
weighted_viz,Weighted Visualization,visualization,reporting,Create population-adjusted charts,Data + weight column,Weighted bar/pie charts,Presenting weighted results,Unweighted analysis OK,survey_stats.visuals.plot_weighted_bars(),survey
robust_eda,Robust Eda,statistical,robust,Exploratory analysis using robust statistics resistant to outliers,Survey data or numeric dataframe,Report/Visualizations,"Data with outliers, skewed distributions, small samples",Simple standard analysis suffices,"Trimmed mean, MAD, median, IQR",general
permutation_inference,Permutation Inference,statistical,advanced,Non-parametric hypothesis testing via resampling methods,Survey data or numeric dataframe,Report/Visualizations,"Small samples, non-normal data, exact p-values needed",Simple standard analysis suffices,"Permutation tests, bootstrap, randomization tests",general
weighted_regression,Weighted Regression,statistical,advanced,Regression analysis with observation-specific weights,Survey data or numeric dataframe,Report/Visualizations,"Varying data quality, heteroskedasticity, time-varying precision",Simple standard analysis suffices,"WLS, weighted OLS, robust regression",general
correlation_analysis_grayscale,Correlation Analysis Grayscale,statistical,advanced,Correlation analysis with grayscale-friendly visualizations,Survey data or numeric dataframe,Report/Visualizations,"Academic publications, print media, accessibility",Simple standard analysis suffices,"Correlation ellipse plots, annotated matrices",general
polynomial_regression_diagnostics,Polynomial Regression Diagnostics,statistical,advanced,Diagnostic analysis for polynomial and nonlinear regression,Survey data or numeric dataframe,Report/Visualizations,"Validating polynomial terms, checking nonlinearity",Simple standard analysis suffices,"Partial residual plots, component-plus-residual plots",general
adv_analytics_gen,Advanced Analytics Notebook Generation,Generates an ipynb combining correlation, Random Forest drivers, PCA, and Clustering.,notebook;machine-learning;personas;drivers,true
eda_notebook_gen,Automated EDA Notebook Generation,Generates a comprehensive descriptive statistics notebook grouping by data types.,notebook;eda;descriptive,false
halo_removal,Halo Effect Removal (Residuals),Uses linear regression against respondent mean to find bias-free feature importance.,bias;stats;regression,false
