id,name,category,subcategory,use_case,prerequisites,output_type,when_to_use,avoid_when,python_function,domain
mann_whitney,Mann-Whitney U,inferential,comparison,"Compare distributions of 2 groups","Ordinal/non-normal numeric","U-statistic + p-value","Non-parametric alternative to t-test","Normal distributions confirmed","scipy.stats.mannwhitneyu()","survey"
kruskal_wallis,Kruskal-Wallis H,inferential,comparison,"Compare 3+ group distributions","Ordinal/non-normal numeric","H-statistic + p-value","Non-parametric alternative to ANOVA","Normal distributions confirmed","scipy.stats.kruskal()","survey"
chi_square,Chi-Square Test,inferential,association,"Test independence of categories","2 categorical variables","Chi2 + p-value + Cramér's V","Testing categorical associations","Expected counts < 5","scipy.stats.chi2_contingency()","survey"
fisher_exact,Fisher's Exact Test,inferential,association,"Test independence (small samples)","2x2 contingency table","Odds ratio + p-value","Small sample sizes","Large samples (use chi-square)","scipy.stats.fisher_exact()","healthcare"
pearson_corr,Pearson Correlation,inferential,correlation,"Measure linear relationship","2 numeric variables","r coefficient + p-value","Both variables are continuous and normal","Non-linear or ordinal data","scipy.stats.pearsonr()","general"
spearman_corr,Spearman Correlation,inferential,correlation,"Measure monotonic relationship","2 ordinal/numeric variables","rho coefficient + p-value","Ordinal data or non-linear relationships","Linear relationships confirmed","scipy.stats.spearmanr()","survey"
regression_linear,Linear Regression,modeling,prediction,"Predict continuous outcome","Numeric outcome + predictors","Coefficients + R² + predictions","Predicting numeric values","Categorical outcome","sklearn.linear_model.LinearRegression()","general"
regression_logistic,Logistic Regression,modeling,classification,"Predict binary outcome","Binary outcome + predictors","Odds ratios + accuracy + predictions","Binary classification problems","Multi-class or continuous outcomes","sklearn.linear_model.LogisticRegression()","healthcare"
regression_multi,Multiple Regression,modeling,prediction,"Predict with multiple factors","Numeric outcome + multiple predictors","Coefficients + R² + VIF","Multiple predictors influence outcome","Perfect multicollinearity","statsmodels.api.OLS()","research"
factor_analysis,Factor Analysis,dimensionality,reduction,"Identify latent constructs","Multiple correlated variables","Loadings + explained variance","Likert scales or battery questions","< 5 variables or low correlations","factor_analyzer.FactorAnalyzer()","survey"
pca,Principal Component Analysis,dimensionality,reduction,"Reduce feature space","Multiple numeric variables","Components + loadings + scores","Many correlated features","Sparse or categorical data","sklearn.decomposition.PCA()","general"
kmeans,K-Means Clustering,segmentation,clustering,"Group similar observations","Numeric features","Cluster labels + centroids","Finding natural groupings","Pre-defined groups exist","sklearn.cluster.KMeans()","marketing"
hierarchical,Hierarchical Clustering,segmentation,clustering,"Build cluster hierarchy","Numeric or distance matrix","Dendrogram + cluster labels","Exploring cluster structure","Large datasets (>10k rows)","scipy.cluster.hierarchy","research"
dbscan,DBSCAN Clustering,segmentation,clustering,"Density-based clustering","Numeric features","Cluster labels + noise points","Unknown number of clusters","Varying density clusters","sklearn.cluster.DBSCAN()","general"
sentiment,Sentiment Analysis,nlp,classification,"Classify text sentiment","Text column","Sentiment scores/labels","Analyzing open-ended responses","Structured data only","textblob / transformers","survey"
topic_model,Topic Modeling (LDA),nlp,discovery,"Discover themes in text","Text corpus","Topics + word distributions","Large text collections","Short or few texts","sklearn.decomposition.LatentDirichletAllocation()","research"
word_freq,Word Frequency Analysis,nlp,descriptive,"Find common terms","Text column","Word counts + cloud","Quick text overview","Need semantic understanding","collections.Counter()","survey"
time_decompose,Time Series Decomposition,timeseries,analysis,"Separate trend/season/residual","Datetime index + values","Trend + Seasonal + Residual","Understanding time patterns","Non-time-indexed data","statsmodels.tsa.seasonal_decompose()","financial"
arima,ARIMA Forecasting,timeseries,prediction,"Forecast future values","Datetime index + values","Predictions + confidence intervals","Univariate time series","Multiple time series","statsmodels.tsa.arima.model.ARIMA()","financial"
survival,Survival Analysis,specialized,duration,"Time-to-event modeling","Duration + event indicator","Survival curves + hazard ratios","Analyzing time until event","No censoring in data","lifelines.KaplanMeierFitter()","healthcare"
